_country,_latitude,_longitude
Afghanistan,34.99632938110767,62.29722387303906
Afghanistan,32.82008883032961,68.19475429409103
Afghanistan,35.40737499083476,69.99374070495497
Afghanistan,32.229144932197606,62.64398752349064
Afghanistan,32.27191649258126,65.72153831827596
Afghanistan,33.1203497885861,66.34294336136834
Afghanistan,30.097947130872047,62.41753614892417
Afghanistan,36.9823753804129,69.92587569976457
Afghanistan,36.36591712902002,65.34638812544546
Afghanistan,33.14193795458706,61.01692461101525
Afghanistan,37.43891338247674,70.11803059308147
Afghanistan,36.7916496746078,65.32946604000911
Afghanistan,36.56810109374327,65.07661239232007
Afghanistan,30.609839941012016,66.31063025030933
Afghanistan,33.82909849194257,63.95368810697747
Afghanistan,35.65020946446592,71.11314930928961
Afghanistan,32.06858662379587,67.50454303242118
Afghanistan,35.840171558341424,66.56396368991658
Afghanistan,37.12834024349861,74.0056696286773
Afghanistan,32.53933747240696,62.05095332962327
Afghanistan,35.74995005290634,63.93964069531493
Afghanistan,32.75495207971186,63.86815459414381
Afghanistan,37.060589870826576,66.32056477048195
Afghanistan,36.18624955892115,66.6932991635066
Afghanistan,29.60592295640859,63.73280370519993
Afghanistan,36.99541592724562,68.89789219440065
Afghanistan,36.896807553150474,65.2461561288214
Afghanistan,36.004719191508485,69.68137997406792
Afghanistan,33.40622565509958,66.49250103425497
Afghanistan,32.13914505691003,66.68732372037104
Afghanistan,34.85501712979161,62.173361550931176
Afghanistan,33.90355991313674,65.11270728010567
Afghanistan,34.4336069796153,67.40874960743925
Afghanistan,29.939783286424635,63.151520476090276
Afghanistan,36.36682466195389,67.08630033552977
Afghanistan,33.70059020391617,66.65986911710165
Afghanistan,36.645550720465785,70.0237691205441
Afghanistan,34.136029754395054,64.46905670867352
Afghanistan,36.213913004239686,70.41226792604883
Afghanistan,35.05980999712305,67.33429190139351
Afghanistan,35.008374873113866,69.72384018525304
Afghanistan,30.889354233811424,63.02099361314255
Afghanistan,34.13831155852704,63.429646571974644
Afghanistan,33.4698516063017,69.64687047178535
Afghanistan,33.8865884088069,61.126027416159666
Afghanistan,36.12939674080821,64.40973677747225
Afghanistan,33.44901521682313,65.32112687247094
